file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,test.test_kube_topdown,test_kube_topdown,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,2,,same
,test.test_serialization.TestSerialization,test_addressbook,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,2,,same
,test.test_serialization.TestSerialization,test_correct,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_config_validation,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_delete,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process_group,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_dump_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_duplicate_names,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_empty_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_exec_command,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_experiment_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_get_log,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_launch_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_list_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_load_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_login,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_multiple_experiments,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_ports,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_exec,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_group_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_serialization_idempotence,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_tmux_topdown.TestTmuxCluster,test_transfer_file,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,2,,same
,test.test_config.TestConfig,test_creation,Passed,NO MESSAGE,,,,121,,same
,test.test_config.TestConfig,test_singleton,Passed,NO MESSAGE,,,,121,,same
,test.test_config.TestConfig,test_no_double_register,Passed,NO MESSAGE,,,,121,,same
,test.test_config.TestConfig,test_register,Passed,NO MESSAGE,,,,121,,same
,test.test_kube_bottomup,test_kube_bottom_up,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,121,,same
,test.test_kube_topdown,test_kube_topdown,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,121,,same
,test.test_serialization.TestSerialization,test_addressbook,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,121,,same
,test.test_serialization.TestSerialization,test_correct,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_config_validation,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_delete,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process_group,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_dump_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_duplicate_names,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_empty_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_exec_command,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_experiment_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_get_log,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_launch_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_list_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_load_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_login,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_multiple_experiments,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_ports,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_exec,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_group_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_serialization_idempotence,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_tmux_topdown.TestTmuxCluster,test_transfer_file,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,121,,same
,test.test_config.TestConfig,test_creation,Passed,NO MESSAGE,,,,156,,same
,test.test_config.TestConfig,test_singleton,Passed,NO MESSAGE,,,,156,,same
,test.test_config.TestConfig,test_no_double_register,Passed,NO MESSAGE,,,,156,,same
,test.test_config.TestConfig,test_register,Passed,NO MESSAGE,,,,156,,same
,test.test_kube_bottomup,test_kube_bottom_up,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,156,,same
,test.test_kube_topdown,test_kube_topdown,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,156,,same
,test.test_serialization.TestSerialization,test_addressbook,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,156,,same
,test.test_serialization.TestSerialization,test_correct,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_config_validation,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_delete,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process_group,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_dump_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_duplicate_names,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_empty_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_exec_command,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_experiment_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_get_log,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_launch_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_list_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_load_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_login,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_multiple_experiments,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_ports,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_exec,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_group_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_serialization_idempotence,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_tmux_topdown.TestTmuxCluster,test_transfer_file,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,156,,same
,test.test_config.TestConfig,test_creation,Passed,NO MESSAGE,,,,117,,same
,test.test_config.TestConfig,test_singleton,Passed,NO MESSAGE,,,,117,,same
,test.test_config.TestConfig,test_no_double_register,Passed,NO MESSAGE,,,,117,,same
,test.test_config.TestConfig,test_register,Passed,NO MESSAGE,,,,117,,same
,test.test_kube_bottomup,test_kube_bottom_up,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,117,,same
,test.test_kube_topdown,test_kube_topdown,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,117,,same
,test.test_serialization.TestSerialization,test_addressbook,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,117,,same
,test.test_serialization.TestSerialization,test_correct,Failed,AttributeError: module &#x27;collections&#x27; has no attribute &#x27;Mapping&#x27;,"[""E           AttributeError: module 'collections' has no attribute 'Mapping'"", 'symphony/utils/common.py:15: AttributeError']",,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_config_validation,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_delete,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_describe_process_group,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_dump_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_duplicate_names,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_empty_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_exec_command,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_experiment_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_get_log,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_launch_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_list_experiment,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_load_dict,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_login,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_multiple_experiments,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_ports,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_exec,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_process_group_preamble,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
,test.test_tmux_topdown.TestTmuxCluster,test_serialization_idempotence,Error,failed on setup with &quot;libtmux.exc.TmuxCommandNotFound&quot;,[],,,117,,same
